scenario,adoption_rate,efficiency_a,average_speed,total_travel_time,total_energy_electric_mean,total_carbon_electric_mean,total_energy_gasoline_mean,total_carbon_gasoline_mean,E_electric_mean,E_drive_av_mean,E_compute_mean,E_v2x_mean,E_data_center_mean,E_RSU_mean,total_energy_electric_ci_lower,total_energy_electric_ci_upper,total_carbon_electric_ci_lower,total_carbon_electric_ci_upper,total_energy_gasoline_ci_lower,total_energy_gasoline_ci_upper,total_carbon_gasoline_ci_lower,total_carbon_gasoline_ci_upper,E_electric_ci_lower,E_electric_ci_upper,E_drive_av_ci_lower,E_drive_av_ci_upper,E_compute_ci_lower,E_compute_ci_upper,E_v2x_ci_lower,E_v2x_ci_upper,E_data_center_ci_lower,E_data_center_ci_upper,gasoline,electric,autonomous
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.03",0.0,0.7,23.02274813304104,1677579501.3247788,389486277.6099004,195107723.4259215,3669136581.554532,8512396869.206513,386547348.41702306,3951.636438670059,0.0,0.0,0.0,2931025.92,376219143.6795381,402555213.51634014,187400402.41711256,203294898.74474642,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,373288117.75953805,399583387.30515015,0.0,16093.384640712677,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.03",0.0,0.7,23.02274813304104,1677579501.3247788,389176223.08949244,194816303.42021194,3669136581.554532,8512396869.206513,386237986.01037407,3605.5795591913807,0.0,0.0,0.0,2931025.92,375863608.35764325,402413800.5853686,186816048.06314728,203314851.02733564,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,372905319.477168,399482575.3862814,0.0,15529.073140421568,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.03",0.0,0.7,23.02274813304104,1677579501.3247788,389528016.6007882,194957041.0521432,3669136581.554532,8512396869.206513,386588533.0248135,4228.827987345156,0.0,0.0,0.0,2931025.92,377687017.60477626,402175257.1495797,186896936.37534943,203483492.75819466,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374740117.50560224,399220884.5256006,0.0,16434.352151021638,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.03",0.0,0.7,23.02274813304104,1677579501.3247788,389231497.9970813,194635058.1292627,3669136581.554532,8512396869.206513,386292322.7409588,4074.6680612250602,0.0,0.0,0.0,2931025.92,376773886.4035522,403375253.906109,186655715.1779317,203419199.36225945,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,373804734.8195821,400411429.8625419,0.0,16708.044721799135,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.03",0.0,0.7,23.02274813304104,1677579501.3247788,389481219.9443801,195018278.43355322,3669136581.554532,8512396869.206513,386542681.4905027,3756.2669387180636,0.0,0.0,0.0,2931025.92,376853465.8715797,401839985.898319,186724526.96007097,203741897.7146144,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,373922208.63579816,398901424.4844234,0.0,15591.101363162426,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.03",0.0,0.7,23.02274813304104,1677579501.3247788,389315980.20694935,194945522.10231495,3669136581.554532,8512396869.206513,386376952.14439565,4001.0712768673957,0.0,0.0,0.0,2931025.92,377146144.46979356,402693393.3778087,186954740.85585892,203776234.80558082,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374213935.51685387,399759233.38232416,0.0,15055.06374317313,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.03",0.0,0.7,23.02274813304104,1677579501.3247788,389440941.5057171,194943537.34068713,3669136581.554532,8512396869.206513,386502198.08076656,3858.7524752914246,0.0,0.0,0.0,2931025.92,376443218.848145,402632241.8724215,186458371.39482912,203953236.59305787,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,373512192.928145,399687031.55028486,0.0,15099.987612443738,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.03",0.0,0.7,23.02274813304104,1677579501.3247788,389198956.25432503,194899806.9792461,3669136581.554532,8512396869.206513,386260094.13521224,3918.099556374609,0.0,0.0,0.0,2931025.92,376901094.8929807,401984394.3300166,187170274.40578082,203802858.0453351,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,373969685.57185155,399052292.00632757,0.0,15784.693049881278,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.03",0.0,0.7,23.02274813304104,1677579501.3247788,389550078.98618627,195181506.35166514,3669136581.554532,8512396869.206513,386611416.4919972,3818.287094505757,0.0,0.0,0.0,2931025.92,377251371.95771295,401813260.39602554,187548268.3472329,203466979.31474677,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374292648.0218917,398874393.40844434,0.0,16102.313231492131,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.03",0.0,0.7,23.02274813304104,1677579501.3247788,389617271.6032172,195019011.6388335,3669136581.554532,8512396869.206513,386678520.1501131,3862.7665520288538,0.0,0.0,0.0,2931025.92,376689277.1719348,403068573.59308773,186405134.86740142,203842737.43765888,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,373727846.3490283,400126558.6232277,0.0,17144.801625228523,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
